no.spp	test1	test2	test3
4	1	0.8571	0.9286
4	0.89	0.78	0.78
4	0.91	0.82	0.55
4	0.75	0.6875	0.875
4	1	0.857	0.7857
4	1	0.667	0.833
4	1	0.9167	1
4	0.95	0.85	1
4	1	0.8	1
4	0.933	1	0.933
8	0.7083	0.7917	0.7917
8	0.925	0.85	0.8
8	0.6667	0.6667	0.6667
8	0.6429	0.6071	0.7143
8	0.5833	0.6389	0.7778
8	0.8333	0.7667	0.8667
8	0.8387	0.9032	0.871
8	0.7667	0.6667	0.7333
8	0.8889	0.7037	0.8148
8	0.84	0.8	0.68
12	0.5962	0.8654	0.785
12	0.6383	0.5957	0.7447
12	0.7143	0.6122	0.7347
12	0.5926	0.5185	0.6667
12	0.7222	0.7222	0.7037
12	0.5909	0.5909	0.5227
12	0.75	0.6667	0.4583
12	0.8136	0.7458	0.7627
12	0.6346	0.75	0.7692
12	0.8163	0.7347	0.7143
16	0.72	0.7467	0.64
16	0.6563	0.663	0.7188
16	0.63	0.6167	0.6
16	0.5082	0.5738	0.6721
16	0.5667	0.6167	0.6333
16	0.7742	0.7419	0.6774
16	0.6481	0.7037	0.6852
16	0.6236	0.6377	0.6522
16	0.6875	0.6406	0.7188
16	0.7097	0.6129	0.7419
